  4358.34   skyline
  5577.338  skyline
  6300.304  skyline
  6863.955  skyline
  6923.220  skyline
  7276.405  skyline
  7316.282  skyline
  7340.885  skyline
  7392.198  skyline
  7586.093  skyline
  7750.640  skyline
  7759.996  skyline
  7794.112  skyline
  7808.467  skyline
  7821.503  skyline
  7841.266  skyline
  7853.488  skyline
  7860.658  skyline
  7870.730  skyline
  7889.851  skyline
  7913.708  skyline
  7921.100  skyline
  7931.542  skyline
  7949.204  skyline
  7964.650  skyline
  7979.768  skyline
  7993.332  skyline
  8014.059  skyline
  8025.800  skyline
  8052.020  skyline
  8062.178  skyline
  8102.489  skyline
  8281.370  skyline
  8288.603  skyline
  8298.896  skyline
  8310.719  skyline
  8344.602  skyline
  8352.850  skyline
  8364.721  skyline
  8382.392  skyline
  8399.170  skyline
  8415.231  skyline
  8430.174  skyline
  8452.250  skyline
  8465.350  skyline
  8493.389  skyline
  8504.830  skyline
  8538.677  skyline
  8548.708  skyline
  8597.384  skyline
  8761.314  skyline
  8767.912  skyline
  8778.333  skyline
  8791.186  skyline
  8827.096  skyline
  8836.334  skyline
  8849.818  skyline
  8867.700  skyline
  8885.850  skyline
  8903.114  skyline
  8919.630  skyline
  8943.395  skyline
  8958.100  skyline
  8988.366  skyline
  9001.346  skyline
  9038.057  skyline
  9049.538  skyline
  9092.563  skyline
  9102.769  skyline
  9313.100  skyline
  9323.728  skyline
  9337.854  skyline
  9375.961  skyline
  9386.708  skyline
  9402.100  skyline
  9419.729  skyline
  9439.650  skyline
  9458.528  skyline
  9476.912  skyline
  9502.815  skyline
  9519.355  skyline
  9552.534  skyline
  9567.340  skyline
